account_id,account_type,customer_segment,kyc_status,account_age_days,country,region,preferred_channel,device_type,device_risk_score,login_failed_attempts,avg_monthly_txn_count,avg_monthly_amount,is_high_risk_profile,profile_created_at
C1000000001,CUSTOMER,STANDARD,VERIFIED,520,PE,Cusco,ATM,WEB_BROWSER,40,2,21,1227.11,0,2023-10-30
C1000000002,CUSTOMER,BUSINESS,VERIFIED,1185,PE,Junin,AGENCY,WEB_BROWSER,37,0,119,11595.3,0,2023-10-01
C1000000003,CUSTOMER,STANDARD,VERIFIED,3247,PE,Arequipa,ATM,POS,14,0,39,4809.09,0,2022-07-11
C1000000004,CUSTOMER,BASIC,VERIFIED,2718,PE,Puno,MOBILE,IOS,53,0,53,4329.12,0,2020-11-02
C1000000005,CUSTOMER,BASIC,VERIFIED,1175,PE,Huanuco,MOBILE,IOS,20,2,155,655.75,0,2020-01-23
C1000000006,CUSTOMER,BASIC,VERIFIED,3245,PE,Junin,WEB,UNKNOWN,40,2,82,6021.95,0,2022-10-14
C1000000007,CUSTOMER,BUSINESS,VERIFIED,3129,PE,La Libertad,WEB,ANDROID,24,0,25,10846.31,0,2025-04-25
C1000000008,CUSTOMER,BASIC,VERIFIED,1420,CO,International,WEB,IOS,46,1,144,1814.15,0,2021-08-25
C1000000009,CUSTOMER,STANDARD,VERIFIED,1102,CO,International,MOBILE,ANDROID,37,0,153,9029.92,0,2021-01-14
C1000000010,CUSTOMER,BASIC,VERIFIED,1467,PE,Piura,MOBILE,ANDROID,15,1,159,9750.84,0,2021-12-02
C1000000011,CUSTOMER,PREMIUM,VERIFIED,2249,PE,Piura,MOBILE,IOS,43,0,163,10689.85,0,2025-01-06
C1000000012,CUSTOMER,BASIC,VERIFIED,1723,PE,Puno,WEB,ANDROID,18,0,134,6276.56,0,2023-01-11
C1000000013,CUSTOMER,BUSINESS,VERIFIED,3600,PE,Arequipa,MOBILE,ANDROID,52,0,179,11329.25,0,2025-05-29
C1000000014,CUSTOMER,STANDARD,VERIFIED,1679,PE,Lima,WEB,ANDROID,37,2,155,9556.19,0,2024-05-11
C1000000015,CUSTOMER,STANDARD,VERIFIED,2555,PE,Huanuco,AGENCY,ANDROID,38,0,5,3186.39,0,2021-10-14
C1000000016,CUSTOMER,BASIC,VERIFIED,2822,PE,Piura,WEB,IOS,28,1,43,11569.64,0,2023-07-12
C1000000017,CUSTOMER,BASIC,PENDING,351,PE,Junin,MOBILE,IOS,28,0,36,4837.04,0,2023-07-29
C1000000018,CUSTOMER,BASIC,VERIFIED,1919,US,International,MOBILE,WEB_BROWSER,39,0,67,5876.53,0,2025-02-18
